"GPIO","Pull","ALT0
ALT1
ALT2
ALT3
ALT4
ALT5","","","",""
"GPIO36","High","SPI0_CE0_N
SD0
TXD0
SD1_DAT0
RGMII_RX_O
MII_A_RX_ER
K
R","","","",""
"GPIO37","Low","SPI0_MISO
SD1
RXD0
SD1_DAT1
RGMII_MDIO MII_A_TX_ER
R","","","",""
"GPIO38","Low","SPI0_MOSI
SD2
RTS0
SD1_DAT2
RGMII_MDC
MII_A_CRS","","","",""
"GPIO39","Low","SPI0_SCLK
SD3
CTS0
SD1_DAT3
RGMII_IRQ
MII_A_COL","","","",""
"GPIO40","Low","PWM1_0
SD4
SD1_DAT4
SPI0_MISO
TXD1","","","",""
"GPIO41","Low","PWM1_1
SD5
<reserved>
SD1_DAT5
SPI0_MOSI
RXD1","","","",""
"GPIO42","Low","GPCLK1
SD6
<reserved>
SD1_DAT6
SPI0_SCLK
RTS1","","","",""
"GPIO43","Low","GPCLK2
SD7
<reserved>
SD1_DAT7
SPI0_CE0_N
CTS1","","","",""
"GPIO44","-","GPCLK1
SDA0
SDA1
<reserved>
SPI0_CE1_N
SD_CARD_VO
LT","","","",""
"GPIO45","-","PWM0_1
SCL0
SCL1
<reserved>
SPI0_CE2_N
SD_CARD_P
WR0","","","",""
"GPIO46","High
<Internal>","","","","",""
"GPIO47","High
<Internal>","","","","",""
"GPIO48","High
<Internal>","","","","",""
"GPIO49","High
<Internal>","","","","",""
"GPIO50","High
<Internal>","","","","",""
"GPIO51","High
<Internal>","","","","",""
"GPIO52","High
<Internal>","","","","",""
"GPIO53","High
<Internal>","","","","",""
"GPIO54","High
<Internal>","","","","",""
"GPIO55","High
<Internal>","","","","",""
"GPIO56","High
<Internal>","","","","",""
"GPIO57","High
<Internal>","","","","",""
