"Name","Function","See section"
"SPI1_MOSI","SPI 1 MOSI","Auxiliary I/O"
"SPI1_SCLK","SPI 1 Serial clock","Auxiliary I/O"
"TXD1
UART 1 Transmit Data","","Auxiliary I/O"
"RXD1
UART 1 Receive Data","","Auxiliary I/O"
"CTS1
UART 1 Clear To Send","","Auxiliary I/O"
"RTS1
UART 1 Request To Send","","Auxiliary I/O"
"ARM_TRST","ARM JTAG reset","<TBD>"
"ARM_RTCK","ARM JTAG return clock","<TBD>"
"ARM_TDO","ARM JTAG Data out","<TBD>"
"ARM_TCK","ARM JTAG Clock","<TBD>"
"ARM_TDI","ARM JTAG Data in","<TBD>"
"ARM_TMS","ARM JTAG Mode select","<TBD>"
"PCLK","Display Parallel Interface","<TBD>"
"DE","Display Parallel Interface","<TBD>"
"LCD_VSYNC","Display Parallel Interface","<TBD>"
"LCD_HSYNC","Display Parallel Interface","<TBD>"
"DPI_Dx","Display Parallel Interface","<TBD>"
