"14","EN14","enable dma engine 14","RW","0x1"
"13","EN13","enable dma engine 13","RW","0x1"
"12","EN12","enable dma engine 12","RW","0x1"
"11","EN11","enable dma engine 11","RW","0x1"
"10","EN10","enable dma engine 10","RW","0x1"
"9","EN9","enable dma engine 9","RW","0x1"
"8","EN8","enable dma engine 8","RW","0x1"
"7","EN7","enable dma engine 7","RW","0x1"
"6","EN6","enable dma engine 6","RW","0x1"
"5","EN5","enable dma engine 5","RW","0x1"
"4","EN4","enable dma engine 4","RW","0x1"
"3","EN3","enable dma engine 3","RW","0x1"
"2","EN2","enable dma engine 2","RW","0x1"
"1","EN1","enable dma engine 1","RW","0x1"
"0","EN0","enable dma engine 0","RW","0x1"
